Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
21719,1JiR4RJaZlbZ5b3HG8jkeL,Wizkid;Skepta,Made In Lagos,Longtime (feat. Skepta),55,239893,True,0.85,0.66,11,-4.846,0,0.169,0.417,5.14e-05,0.209,0.622,101.947,4,dancehall
25741,6cfNBFSKFB59wO8xIFZ0qI,Ivan komarenko,Tango saute,Dom na wiślanym brzegu,31,209093,False,0.64,0.758,9,-7.31,0,0.0675,0.497,0.0,0.0506,0.849,106.978,4,disco
15850,5VcFzH97JEHgXgedErp4cP,Jayla Darden,"Ideas, Vol. 2",Idea 686,53,163235,False,0.712,0.347,0,-10.363,0,0.041,0.378,0.0212,0.111,0.5,135.975,4,chill
31992,7oMBY3VmIxqNVeZ7yneYuN,Chino & Nacho,Perreo Tenebroso Vol. 2,Me Voy Enamorando,0,235720,False,0.686,0.912,10,-3.411,1,0.0685,0.0533,0.0,0.392,0.511,99.952,4,electro
79027,3eDX2SnjVRG9hh0v074eEO,OneRepublic,Christmas Songs 2022,Christmas Without You,1,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
87727,196ZNihAwp7y7Ao4YfSdIx,Kid Abelha,Educação Sentimental,Educação sentimental II,41,291906,False,0.659,0.712,1,-9.233,0,0.0263,0.00673,0.00128,0.17,0.857,139.678,4,r-n-b
36520,2iwJ7fMxCZSYO46ZwKczjT,MR TOUT LE MONDE,SUN,Searching,53,209910,False,0.586,0.811,8,-12.527,1,0.0364,0.0666,0.631,0.318,0.0383,122.014,4,french
75681,5eFImbkAL468Od8tggmTkR,Liquid Mind,Ambience Minimus,Liquid Mind,23,711600,False,0.0783,0.0582,2,-24.158,0,0.048,0.975,0.96,0.105,0.0362,176.204,3,new-age
83773,4IOK3PjSHrQm6dgYZdHZkE,Armin van Buuren;Sam Gray,Human Touch,Human Touch,52,145748,False,0.633,0.834,2,-5.316,1,0.0383,0.0029,4.37e-05,0.19,0.599,126.981,4,progressive-house
19871,3hboOw4dS0aXGuP0fyyvbC,Tenille Arts,"Love, Heartbreak, & Everything in Between",Somebody Like That,72,198208,False,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,4,country
26162,1pIynPOpqprpV4WguxHFIy,Atsuko Takezawa;Erika Shiraishi;Hozumi Shibata;Mayumi Makino;Yukari Fujii,Hercules (Original Motion Picture Soundtrack/Japanese Version),Zero to Hero - Japanese Version,29,138013,False,0.48,0.594,0,-12.283,1,0.233,0.564,0.0,0.801,0.81,164.668,4,disney
639,4ncp2DWzx9EQfaJmOdf45s,Vendredi;Son&Dad,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs,Just The Two Of Us - Acoustic,28,124742,False,0.462,0.424,5,-7.038,0,0.0301,0.883,0.0,0.147,0.564,97.675,4,acoustic
61672,4vxeeLNZHjOPGMwZA0fHQi,Akina Nakamori,AKINA BOX 1982-1991 (2012 Remaster),十戒 (1984) - 2012 Remaster,20,216346,False,0.676,0.753,0,-4.715,1,0.0365,0.0525,2.88e-05,0.0682,0.493,148.968,4,j-idol
46741,2gdtNt0TzNZOOhmNpimt01,Bertocucci Feranzano,Happy Hardcore Top 100,XTC Love,17,305998,False,0.63,0.852,10,-9.686,0,0.108,0.0016,0.82,0.653,0.302,177.966,4,happy
16580,4BMHp3DkI8VLsuB9Kr0pzu,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,Divenire (Deluxe Edition),Primavera,62,442400,False,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,3,classical
8235,3IUpuyEMIgt4GvEZ2TqERF,Chuck Berry,Jingle Bell Rock 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
17029,6I7FFkcXS58luQoYLzPHi3,F.O.O.L;Power Glove,Mercenary,Mercenary,56,219818,True,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4,club
8047,4GPQDyw9hC1DiZVh0ouDVL,The Black Keys,OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,0,189356,False,0.597,0.702,11,-4.767,1,0.0445,0.0197,0.01,0.125,0.645,83.507,4,blues
97340,2IERCI65gkNfWDf71WDdVy,Henrique & Juliano,Novas Histórias (Ao Vivo),Contar Pra Quê - Ao Vivo,50,194815,False,0.611,0.626,0,-6.175,1,0.0529,0.644,0.0,0.449,0.468,153.942,4,sertanejo
17299,6ObXqVTebtSXcaA2WnMI30,Linn da Quebrada;Podeserdesligado;Ventura Profana,PAJUBÁ REMIX I,Ventura Profana & Podeserdesligado * Bixa Travesty - Poder & Glória (Remix),23,212727,False,0.711,0.861,1,-4.904,1,0.13,0.0747,0.000763,0.123,0.451,131.798,4,club
42675,7vPy3CoFRUQnGfcMP3MwbO,Sex Prisoner,Tannhauser Gate,Half Smile,13,112568,False,0.199,0.961,7,-5.12,1,0.218,1.67e-05,0.527,0.563,0.226,168.246,4,grindcore
19770,4HEhS3sdZu5X2c7oLOEry1,Morgan Evans;Kelsea Ballerini,Laidback Country,Dance with Me,0,199501,False,0.611,0.519,1,-9.854,1,0.035,0.481,4.82e-06,0.107,0.462,147.979,4,country
74673,4TNbuAW9vMe1iz5hbimlY7,Palavra Cantada,Cantigas de Roda,Caranguejo / O Cravo e a Rosa,41,135640,False,0.765,0.345,9,-8.858,1,0.0363,0.323,7.83e-06,0.321,0.741,144.039,4,mpb
40273,0bTeNbDzGLsRRcHpk66HAe,Fernandinho,Santo (ao Vivo),Eu Vou Amanhecer - Ao Vivo,43,348692,False,0.543,0.739,11,-7.16,0,0.0393,0.00531,1.65e-06,0.104,0.293,67.512,4,gospel
29426,4jEgIGTiWCziKA6ExSttMX,Tristam,Till It's Over,Till It's Over,55,270545,False,0.61,0.836,7,-6.428,0,0.089,0.123,0.0,0.164,0.329,110.032,4,dubstep
7250,0laEXE6mKdErCC67yhsHaO,Mipso,Mipso,Caroline,52,215040,False,0.622,0.357,9,-15.463,1,0.0496,0.936,0.315,0.113,0.39,97.077,4,bluegrass
71290,5gRjZANENPGzKGrOsBIVUa,Bush,Post-Millennial Noise,Headful of Ghosts,0,261293,False,0.432,0.706,5,-5.061,1,0.0426,0.00108,0.0,0.378,0.29,136.981,4,metal
24977,2dz2ynnOWIWA4V1orUtwIu,Inner City,80s Party Hits,Good Life,5,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno
58785,65msMoWzaKwqcSFUeW43y1,Mushroomhead,Savior Sorrow,The Need,22,296026,False,0.516,0.872,8,-5.342,1,0.0477,0.0147,7.6e-06,0.105,0.252,117.947,4,industrial
19918,5vXsj8L4DK1gGQ43BBG028,Kenny Rogers;Sheena Easton,We've Got Tonight,We've Got Tonight,66,234560,False,0.543,0.227,8,-11.247,1,0.0298,0.767,4.29e-05,0.103,0.292,123.548,4,country
6227,5Xa8AhVrlg4W5deVWGb22G,Winds of Plague,Decimate the Weak,Legions,21,229453,False,0.225,0.929,2,-4.92,0,0.172,7.1e-05,0.945,0.148,0.0574,117.079,4,black-metal
97522,6Oq34Yl78rsHSJ5jbVL2Bp,Matheus & Kauan,Expectativa x Realidade,Seu Beijo Fez Isso,47,200725,False,0.477,0.77,0,-6.711,1,0.0524,0.275,0.0,0.184,0.77,181.924,4,sertanejo
32951,56urRCfhQX5H3tfGt6q3uU,DJ Snake;Travis Scott;Migos;GASHI,Encore,Oh Me Oh My,48,256320,True,0.669,0.652,0,-4.245,1,0.0603,0.0314,0.0,0.158,0.0395,119.972,4,electronic
19190,1mElWOxIAwRJJCVNpIvuTK,Tim McGraw,Rock Christmas 2022 - The Very Best Of,Christmas All Over The World,0,166168,False,0.565,0.782,11,-5.098,0,0.0305,0.0341,0.0,0.0782,0.798,126.904,4,country
2902,0l4DTppOxy7NUaEcwXuOb6,Neon Trees,Habits (Spotify),Animal,66,212306,False,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,4,alt-rock
38770,1hjg9erehrVq6UqlQiONgN,Dumb Punts,Coupla Couplas,Pissed On,25,111041,False,0.268,0.909,9,-4.284,1,0.149,0.000767,0.755,0.357,0.713,156.24,4,garage
48263,6ggsK0nQYthFiPemdn9ytr,Thirteen,Kosong,Kosong,34,210201,False,0.498,0.996,2,-0.866,1,0.127,0.000955,3.61e-05,0.319,0.184,74.988,4,hardcore
93206,70tpfY2mt3i1aqTzhvljAN,Maya Kristalinskaya,Знакомая песенка. Дискотека СССР,"Еду я - Из к/ф ""Лушка""",5,140773,False,0.522,0.321,5,-11.632,0,0.138,0.936,0.0,0.0937,0.718,167.36,4,romance
94026,7BdlyzVvOqmwPH9dYtZfsx,Promoting Sounds;Powfu;Ouse,Dead Eyes,Dead Eyes,66,219428,True,0.719,0.651,7,-5.872,1,0.0274,0.127,0.0,0.0762,0.289,104.956,4,sad
103186,3DuooTh2cfcYXSlsQbdV0q,Mary J. Blige;The Clark Sisters,Un tecito y a mimir,The First Noel,0,264186,False,0.23,0.438,1,-7.861,1,0.038,0.588,0.0,0.285,0.338,174.373,4,soul
92612,34AmZ4PMz9iNZVp9AMIGZj,Bill Haley & His Comets,Biggest Hits,Rock Around The Clock,53,137000,False,0.609,0.526,9,-13.106,1,0.43,0.139,0.0,0.0946,0.93,173.179,4,rockabilly
57286,1ZE8dSKL83pY6qInQG5CA5,Stevie Wonder,Xmas Classics 2022,What Christmas Means To Me,0,147800,False,0.524,0.614,0,-8.05,1,0.0363,0.202,0.0,0.0802,0.751,82.229,4,indie
3574,5sOHEiisdvTE72NZ2wFJvG,FKA twigs,I'm Blue - Hits of 2022,killer,0,176876,False,0.401,0.619,0,-7.035,0,0.21,0.168,0.0,0.272,0.757,78.763,4,alternative
60692,0yiEzh0uwRE4esEDjyhjdI,Laa Lee;TripleDose Production,Bruk Stone Riddim,Gal Yuh Hot,20,181603,True,0.825,0.766,6,-4.741,1,0.181,0.2,0.0,0.101,0.896,107.986,4,j-dance
